session_id,user_id,session_start_ts,session_end_ts,session_number
s_7c45f73c8196,u_00007,2024-02-22 11:16:00,2024-02-22 11:36:00,16
s_2f1d01aef9f4,u_00007,2024-03-23 19:34:00,2024-03-23 19:44:00,17
s_dbfa0278e9c4,u_00008,2024-01-30 07:38:00,2024-01-30 07:43:00,1
s_39a9c19e517c,u_00008,2024-01-30 13:27:00,2024-01-30 13:37:00,2
s_178126ff423a,u_00008,2024-02-02 21:57:00,2024-02-02 22:17:00,3
s_4b77e8b018fa,u_00008,2024-02-07 12:02:00,2024-02-07 12:12:00,4
s_03b8fd93d127,u_00008,2024-02-14 13:00:00,2024-02-14 13:10:00,5
s_03377ebb115f,u_00008,2024-02-15 06:27:00,2024-02-15 06:29:00,6
s_b9fa680d4503,u_00008,2024-02-15 13:11:00,2024-02-15 13:16:00,7
s_9d50642a5606,u_00008,2024-02-15 19:05:00,2024-02-15 19:45:00,8
s_4e149079665b,u_00008,2024-02-18 14:44:00,2024-02-18 14:54:00,9
s_22248f0b5f81,u_00008,2024-02-18 15:54:00,2024-02-18 16:04:00,10
s_a26e64d47f32,u_00008,2024-02-22 11:00:00,2024-02-22 11:02:00,11
s_e0d227b51632,u_00008,2024-02-22 20:58:00,2024-02-22 21:18:00,12
s_00bccb73ef07,u_00009,2024-02-23 07:46:00,2024-02-23 07:56:00,1
s_93facc1adda5,u_00009,2024-02-24 12:40:00,2024-02-24 12:42:00,2
s_25465276b803,u_00009,2024-02-24 13:34:00,2024-02-24 13:39:00,3
s_b1e6a4f247a5,u_00009,2024-03-01 09:08:00,2024-03-01 09:28:00,4
s_f835bdc9a023,u_00009,2024-03-04 10:26:00,2024-03-04 10:46:00,5
s_69d6cd130ccd,u_00009,2024-03-04 15:19:00,2024-03-04 15:39:00,6
s_177df722a4b0,u_00009,2024-03-10 08:06:00,2024-03-10 08:16:00,7
s_e0427dcbab0e,u_00009,2024-03-10 16:31:00,2024-03-10 16:41:00,8
s_267597002285,u_00009,2024-03-28 19:58:00,2024-03-28 20:18:00,9
s_a704343dd308,u_00010,2024-01-05 08:58:00,2024-01-05 09:03:00,1
s_91bd460723ac,u_00010,2024-01-06 08:16:00,2024-01-06 09:16:00,2
s_3d7e35f3014c,u_00010,2024-01-06 12:26:00,2024-01-06 12:36:00,3
s_1597ec4b2bf2,u_00010,2024-01-09 10:18:00,2024-01-09 10:28:00,4
s_60930d9443cd,u_00010,2024-01-12 09:26:00,2024-01-12 09:46:00,5
s_c4471be053fc,u_00010,2024-01-12 09:50:00,2024-01-12 10:00:00,6
s_031f033859e1,u_00010,2024-01-22 19:28:00,2024-01-22 19:33:00,7
s_8c90cb241283,u_00010,2024-01-25 16:44:00,2024-01-25 17:44:00,8
s_b3989a29a6f8,u_00010,2024-02-03 06:34:00,2024-02-03 06:54:00,9
s_6a7220249090,u_00010,2024-03-08 12:08:00,2024-03-08 12:18:00,10
s_e1bb41c16bb0,u_00010,2024-03-08 19:12:00,2024-03-08 19:22:00,11
s_4ef941e710ca,u_00011,2024-01-15 06:21:00,2024-01-15 07:01:00,1
s_d390b0171588,u_00011,2024-01-15 09:53:00,2024-01-15 09:55:00,2
s_3d6e5cd86c80,u_00011,2024-01-16 09:20:00,2024-01-16 09:30:00,3
s_329f6226316f,u_00011,2024-01-16 15:07:00,2024-01-16 15:17:00,4
s_7d1044ea4210,u_00011,2024-01-17 06:18:00,2024-01-17 06:28:00,5
s_638226325b22,u_00011,2024-01-17 15:25:00,2024-01-17 15:35:00,6
s_82d792a84e66,u_00011,2024-01-28 08:08:00,2024-01-28 08:18:00,7
s_f43b8646f4a8,u_00011,2024-01-29 08:21:00,2024-01-29 08:26:00,8
s_eccf8b585e57,u_00011,2024-02-01 16:30:00,2024-02-01 17:30:00,9
s_0ec511d42174,u_00011,2024-02-02 09:18:00,2024-02-02 09:23:00,10
s_dddaa5027e29,u_00011,2024-02-14 07:34:00,2024-02-14 07:44:00,11
s_4ce2b809c71f,u_00011,2024-02-14 09:57:00,2024-02-14 10:02:00,12
s_5cdf173342a8,u_00011,2024-02-14 10:03:00,2024-02-14 10:23:00,13
s_817e1bcfb7db,u_00011,2024-02-23 15:09:00,2024-02-23 15:19:00,14
s_b49f1f8d08b2,u_00011,2024-02-23 19:32:00,2024-02-23 20:32:00,15
s_4248e5ac0e15,u_00011,2024-02-29 18:17:00,2024-02-29 18:22:00,16
s_f8a475f099e2,u_00011,2024-03-17 06:58:00,2024-03-17 07:03:00,17
s_28bda9d69865,u_00012,2024-01-11 18:18:00,2024-01-11 18:58:00,1
s_14da1100a636,u_00012,2024-01-12 22:00:00,2024-01-12 22:10:00,2
s_efafc369a3e4,u_00012,2024-01-13 18:16:00,2024-01-13 18:26:00,3
s_2bc9219d483d,u_00012,2024-01-16 08:46:00,2024-01-16 09:46:00,4
s_c9a6efdf03cf,u_00012,2024-01-20 21:46:00,2024-01-20 21:51:00,5
s_b607da40d987,u_00012,2024-01-21 10:47:00,2024-01-21 11:47:00,6
s_03e8090550cc,u_00012,2024-01-21 17:38:00,2024-01-21 17:40:00,7
s_f396bb2ae13e,u_00012,2024-01-21 19:38:00,2024-01-21 19:43:00,8
s_36cd192580af,u_00012,2024-02-07 11:45:00,2024-02-07 11:55:00,9
s_b7ac2b9946f3,u_00012,2024-02-27 10:40:00,2024-02-27 10:50:00,10
s_09219ef3326f,u_00012,2024-03-16 17:08:00,2024-03-16 17:28:00,11
s_12f58317b639,u_00012,2024-03-16 19:21:00,2024-03-16 19:31:00,12
s_63fe74dae40a,u_00013,2024-02-11 20:02:00,2024-02-11 20:22:00,1
s_1aa358d70c46,u_00013,2024-02-12 13:16:00,2024-02-12 13:56:00,2
s_259ed9ea561e,u_00013,2024-02-15 11:34:00,2024-02-15 11:44:00,3
s_887370e7c139,u_00013,2024-02-16 12:57:00,2024-02-16 13:37:00,4
s_b2629f3b2261,u_00013,2024-02-24 11:01:00,2024-02-24 11:11:00,5
s_8e47e0030a77,u_00013,2024-02-29 06:45:00,2024-02-29 06:50:00,6
s_45825d592478,u_00013,2024-03-09 16:05:00,2024-03-09 16:07:00,7
s_860ebffb6624,u_00013,2024-03-11 11:20:00,2024-03-11 11:30:00,8
s_6c4820da8ff9,u_00013,2024-03-11 19:47:00,2024-03-11 20:07:00,9
s_2731a1165663,u_00013,2024-03-15 15:55:00,2024-03-15 16:15:00,10
s_4e0141085b2d,u_00013,2024-03-17 12:27:00,2024-03-17 12:29:00,11
s_7f1a9c9828d3,u_00013,2024-03-17 15:56:00,2024-03-17 16:16:00,12
s_204e48b18de8,u_00013,2024-03-17 20:10:00,2024-03-17 20:20:00,13
s_ac3ceab7b0e4,u_00014,2024-01-30 08:09:00,2024-01-30 08:11:00,1
s_322146ec1787,u_00014,2024-01-30 20:50:00,2024-01-30 21:00:00,2
s_afbc23c7ec06,u_00014,2024-02-01 07:14:00,2024-02-01 07:24:00,3
s_d7c489afb751,u_00014,2024-02-01 08:15:00,2024-02-01 08:25:00,4
s_ed552917bbfe,u_00014,2024-02-02 13:12:00,2024-02-02 13:22:00,5
s_74e0875a7d69,u_00014,2024-02-04 15:30:00,2024-02-04 15:35:00,6
s_6df5ef714716,u_00014,2024-02-12 11:44:00,2024-02-12 12:24:00,7
s_e14816ab03b6,u_00014,2024-03-27 16:05:00,2024-03-27 16:15:00,8
s_298665f9554c,u_00014,2024-03-27 16:23:00,2024-03-27 17:23:00,9
s_ae4996d768a6,u_00015,2024-02-13 21:06:00,2024-02-13 21:11:00,1
s_993002db0f2c,u_00015,2024-02-14 10:25:00,2024-02-14 10:30:00,2
s_5708401e9db6,u_00015,2024-02-14 16:20:00,2024-02-14 16:25:00,3
s_eb5788eaea19,u_00015,2024-02-14 18:51:00,2024-02-14 18:56:00,4
s_440499b5845c,u_00015,2024-02-23 15:25:00,2024-02-23 15:45:00,5
s_5ab58133a1b6,u_00015,2024-02-28 06:28:00,2024-02-28 07:08:00,6
s_d79386e270fa,u_00015,2024-02-28 16:12:00,2024-02-28 17:12:00,7
s_805e9138dea1,u_00015,2024-03-09 19:38:00,2024-03-09 19:43:00,8
s_a697cf6ea35e,u_00016,2024-02-21 16:42:00,2024-02-21 16:44:00,1
s_30ef8b1cf342,u_00016,2024-02-21 16:49:00,2024-02-21 16:54:00,2
s_14245223d8b8,u_00016,2024-02-25 09:45:00,2024-02-25 10:05:00,3
s_95f98104925f,u_00016,2024-02-29 08:35:00,2024-02-29 08:45:00,4
s_8cfd01b5b477,u_00016,2024-03-05 14:28:00,2024-03-05 14:33:00,5
s_1f828d8f070d,u_00016,2024-03-08 20:56:00,2024-03-08 20:58:00,6
s_fa7eac3a7de2,u_00016,2024-03-16 18:20:00,2024-03-16 18:40:00,7
s_4f699fce89e9,u_00016,2024-03-22 07:08:00,2024-03-22 07:18:00,8
s_940ead3a2e22,u_00016,2024-03-25 09:02:00,2024-03-25 09:04:00,9
s_56868d9c0d04,u_00016,2024-03-25 18:07:00,2024-03-25 18:27:00,10
s_c4953f37d2e7,u_00017,2024-02-26 10:34:00,2024-02-26 10:44:00,1
s_1f2c44a447e8,u_00017,2024-02-29 12:58:00,2024-02-29 13:00:00,2
s_babf3bbec7a5,u_00017,2024-02-29 19:21:00,2024-02-29 19:41:00,3
s_eed558c430a6,u_00018,2024-02-11 09:55:00,2024-02-11 10:05:00,1
s_b66c2edd861e,u_00018,2024-02-12 06:34:00,2024-02-12 06:54:00,2
s_85f53d2246be,u_00018,2024-02-12 10:38:00,2024-02-12 10:58:00,3
s_c8286cf44980,u_00018,2024-02-13 12:50:00,2024-02-13 12:55:00,4
s_0eedda19d10a,u_00018,2024-03-03 10:36:00,2024-03-03 10:38:00,5
s_4fa30ea37344,u_00018,2024-03-03 20:42:00,2024-03-03 20:44:00,6
s_d17c2943b566,u_00018,2024-03-06 18:30:00,2024-03-06 18:40:00,7
s_afa0a31a9e8e,u_00018,2024-03-06 19:00:00,2024-03-06 19:02:00,8
s_e38240b2d212,u_00018,2024-03-25 16:19:00,2024-03-25 16:24:00,9
s_efcff0b66490,u_00018,2024-03-25 21:41:00,2024-03-25 22:01:00,10
s_e38d8be51cf8,u_00018,2024-03-26 09:18:00,2024-03-26 09:28:00,11
s_7239814217d8,u_00018,2024-03-26 20:11:00,2024-03-26 20:16:00,12
s_5316f192ab00,u_00019,2024-01-17 08:54:00,2024-01-17 09:04:00,1
s_d30a61b47541,u_00019,2024-01-18 08:23:00,2024-01-18 08:43:00,2
s_fc3085d30af3,u_00019,2024-01-20 12:48:00,2024-01-20 12:50:00,3
s_aa449486a7ad,u_00019,2024-01-21 11:01:00,2024-01-21 11:21:00,4
s_1f58533e2a3d,u_00019,2024-01-22 10:37:00,2024-01-22 10:42:00,5
s_26d86191cec0,u_00019,2024-01-22 14:55:00,2024-01-22 15:35:00,6
s_277593eabcda,u_00019,2024-01-27 08:49:00,2024-01-27 08:54:00,7
s_6d761e26f392,u_00019,2024-02-03 09:29:00,2024-02-03 09:49:00,8
s_7c0303ac72e0,u_00019,2024-02-08 12:20:00,2024-02-08 12:25:00,9
s_bc491deaf92c,u_00019,2024-02-08 14:51:00,2024-02-08 15:01:00,10
s_59aae4eb5db8,u_00019,2024-02-08 16:19:00,2024-02-08 16:59:00,11
s_8a5e78b0484b,u_00019,2024-03-09 18:17:00,2024-03-09 18:22:00,12
s_df7b7f1c2729,u_00019,2024-03-09 20:32:00,2024-03-09 20:42:00,13
s_0d5b34b975db,u_00019,2024-03-09 21:50:00,2024-03-09 22:10:00,14
s_d0206a562a0c,u_00020,2024-01-09 06:25:00,2024-01-09 07:05:00,1
s_66541183221c,u_00020,2024-01-10 17:26:00,2024-01-10 17:31:00,2
s_18385479a61b,u_00020,2024-01-10 19:09:00,2024-01-10 19:19:00,3
s_2df3da39903e,u_00020,2024-01-12 20:57:00,2024-01-12 21:37:00,4
s_eb335d36304a,u_00020,2024-01-12 21:42:00,2024-01-12 21:52:00,5
s_390a7a96e1d8,u_00020,2024-01-13 18:45:00,2024-01-13 19:45:00,6
s_693d88133ccc,u_00020,2024-01-16 12:09:00,2024-01-16 12:19:00,7
s_75d9e05601e0,u_00020,2024-01-20 11:17:00,2024-01-20 11:22:00,8
s_3c60f24030cc,u_00020,2024-01-22 10:19:00,2024-01-22 10:59:00,9
s_71186f30951b,u_00020,2024-01-22 14:34:00,2024-01-22 14:44:00,10
s_8661cfd36918,u_00020,2024-01-22 21:37:00,2024-01-22 21:39:00,11
s_cb8c610e81c9,u_00020,2024-02-07 14:10:00,2024-02-07 14:20:00,12
s_cb3cdd638b68,u_00021,2024-02-10 16:23:00,2024-02-10 16:28:00,1
s_a49504af9d9d,u_00021,2024-02-13 08:57:00,2024-02-13 09:07:00,2
s_057e9b392e8a,u_00021,2024-02-14 06:03:00,2024-02-14 06:08:00,3
s_903da8142c0a,u_00021,2024-02-14 11:18:00,2024-02-14 11:28:00,4
s_fb8b8a412583,u_00021,2024-02-16 15:41:00,2024-02-16 16:01:00,5
s_4927641f464b,u_00021,2024-02-25 21:52:00,2024-02-25 22:02:00,6
s_2c4d9eb0f24e,u_00021,2024-03-03 07:32:00,2024-03-03 07:37:00,7
s_3d6d4ad886f9,u_00021,2024-03-22 11:25:00,2024-03-22 11:35:00,8
s_db7062cf6df8,u_00022,2024-02-08 17:14:00,2024-02-08 17:24:00,1
s_da2c11e34afe,u_00022,2024-02-12 13:58:00,2024-02-12 14:08:00,2
s_69cdf87a0291,u_00022,2024-02-14 12:26:00,2024-02-14 12:46:00,3
s_2f2d956bac60,u_00022,2024-02-22 07:47:00,2024-02-22 07:57:00,4
s_a3561a051a1e,u_00022,2024-02-22 11:30:00,2024-02-22 12:10:00,5
s_7ef0738eeebd,u_00022,2024-02-22 17:58:00,2024-02-22 18:00:00,6
s_038df32cac43,u_00022,2024-02-23 11:42:00,2024-02-23 11:47:00,7
s_0906446dff55,u_00022,2024-03-13 09:11:00,2024-03-13 09:16:00,8
s_7499eb9c67b8,u_00022,2024-03-13 12:06:00,2024-03-13 12:16:00,9
s_da49ab2bddbd,u_00022,2024-03-13 21:35:00,2024-03-13 21:40:00,10
s_f2711c20fc1a,u_00022,2024-03-31 19:48:00,2024-03-31 19:58:00,11
s_07b617ae015d,u_00023,2024-01-01 17:31:00,2024-01-01 17:51:00,1
s_4e5eec140e42,u_00023,2024-01-06 13:11:00,2024-01-06 13:16:00,2
s_774dc4838e56,u_00023,2024-01-11 14:49:00,2024-01-11 15:09:00,3
s_6640ae096a13,u_00023,2024-01-16 07:24:00,2024-01-16 07:29:00,4
s_3008d3be053b,u_00023,2024-02-01 17:11:00,2024-02-01 17:21:00,5
s_0ab0d99c4649,u_00023,2024-02-01 20:43:00,2024-02-01 21:03:00,6
s_22c38208c945,u_00023,2024-02-19 08:11:00,2024-02-19 08:21:00,7
s_3eb80b2cdcf8,u_00023,2024-03-14 13:45:00,2024-03-14 13:47:00,8
s_2a51a9ab99c6,u_00023,2024-03-20 12:51:00,2024-03-20 13:01:00,9
s_0fcc48b06f2e,u_00023,2024-03-20 17:26:00,2024-03-20 17:28:00,10
s_3b32c3b30ed6,u_00024,2024-02-19 18:29:00,2024-02-19 18:31:00,1
s_0d9267af76ed,u_00024,2024-02-22 08:59:00,2024-02-22 09:01:00,2
s_807fab265fb9,u_00024,2024-02-22 10:14:00,2024-02-22 10:16:00,3
s_4268cb498085,u_00024,2024-03-01 14:25:00,2024-03-01 14:35:00,4
s_226e6d3614cf,u_00024,2024-03-01 16:48:00,2024-03-01 16:53:00,5
s_b835a37f052f,u_00024,2024-03-06 10:09:00,2024-03-06 10:49:00,6
s_684d1c9508e9,u_00024,2024-03-06 16:32:00,2024-03-06 17:12:00,7
s_258f8d9749f5,u_00024,2024-03-06 17:45:00,2024-03-06 18:25:00,8
s_fb694fe8ea00,u_00024,2024-03-07 13:49:00,2024-03-07 13:51:00,9
s_dc09355aa8ab,u_00024,2024-03-07 15:42:00,2024-03-07 15:47:00,10
s_e0fe0b75ca58,u_00024,2024-03-16 16:23:00,2024-03-16 17:23:00,11
s_4e5cbdf30e8b,u_00024,2024-03-19 07:43:00,2024-03-19 07:53:00,12
s_ee3108e8351a,u_00024,2024-03-19 21:03:00,2024-03-19 22:03:00,13
s_d4e35440e4d9,u_00024,2024-03-25 21:49:00,2024-03-25 21:59:00,14
s_50d9417cccaf,u_00024,2024-03-31 12:50:00,2024-03-31 12:52:00,15
s_d6920175a2b2,u_00025,2024-02-16 21:52:00,2024-02-16 22:02:00,1
s_4fd45f9ed2fb,u_00025,2024-02-18 11:27:00,2024-02-18 11:32:00,2
s_43f704758a45,u_00025,2024-02-23 13:53:00,2024-02-23 14:33:00,3
s_cf4c99182c30,u_00025,2024-02-24 15:05:00,2024-02-24 15:25:00,4
s_df5a1798b066,u_00025,2024-03-15 10:21:00,2024-03-15 10:23:00,5
s_5fe349a2353b,u_00025,2024-03-15 12:52:00,2024-03-15 13:32:00,6
s_33e84f9f28d6,u_00025,2024-03-23 14:18:00,2024-03-23 15:18:00,7
s_ceccd392552b,u_00025,2024-03-23 15:34:00,2024-03-23 15:36:00,8
s_df529e1899ac,u_00025,2024-03-23 16:46:00,2024-03-23 17:06:00,9
s_a8706fffb8bd,u_00025,2024-03-25 11:11:00,2024-03-25 11:16:00,10
s_ac103f16823e,u_00026,2024-02-28 21:05:00,2024-02-28 21:25:00,1
s_135de20168ff,u_00026,2024-02-29 11:25:00,2024-02-29 11:35:00,2
s_2475f2a6659f,u_00026,2024-02-29 16:51:00,2024-02-29 17:01:00,3
s_d5983965ff69,u_00026,2024-03-02 12:53:00,2024-03-02 13:03:00,4
s_26c4794ab14c,u_00026,2024-03-04 20:05:00,2024-03-04 20:45:00,5
s_7e28f6c3bb37,u_00026,2024-03-08 20:54:00,2024-03-08 20:59:00,6
s_8a49ced35b10,u_00026,2024-03-14 15:05:00,2024-03-14 15:25:00,7
s_70159ce1bc32,u_00026,2024-03-17 08:56:00,2024-03-17 09:16:00,8
s_f7ad1490b6be,u_00026,2024-03-17 17:11:00,2024-03-17 17:13:00,9
s_442698b11f9d,u_00027,2024-01-13 08:53:00,2024-01-13 09:03:00,1
s_fa4116ff818a,u_00027,2024-01-13 18:19:00,2024-01-13 18:39:00,2
s_e7817b9bcafc,u_00027,2024-01-17 10:08:00,2024-01-17 10:28:00,3
s_6ead134ec3a4,u_00027,2024-01-18 07:39:00,2024-01-18 07:44:00,4
s_ad10abb2cd78,u_00027,2024-01-19 13:49:00,2024-01-19 14:09:00,5
s_dcb75e0b3b5b,u_00027,2024-01-19 21:20:00,2024-01-19 21:40:00,6
s_796f36c33923,u_00027,2024-01-22 11:02:00,2024-01-22 11:22:00,7
s_d3d770b93688,u_00027,2024-01-22 11:50:00,2024-01-22 11:55:00,8
s_e2354491b26a,u_00027,2024-01-25 10:24:00,2024-01-25 10:34:00,9
s_e4590f38987c,u_00027,2024-01-31 18:59:00,2024-01-31 19:04:00,10
s_ea919b240ffb,u_00027,2024-02-14 06:26:00,2024-02-14 06:31:00,11
s_01b3d9708a94,u_00027,2024-02-15 12:11:00,2024-02-15 12:31:00,12
s_ab76b413a8d3,u_00028,2024-02-03 10:37:00,2024-02-03 10:47:00,1
s_3953d03e2578,u_00028,2024-02-04 18:39:00,2024-02-04 18:49:00,2
s_f9bbb889d2cc,u_00028,2024-02-10 19:37:00,2024-02-10 19:39:00,3
s_a3a73a867207,u_00028,2024-02-12 10:13:00,2024-02-12 10:18:00,4
s_5b79ec62448f,u_00028,2024-02-20 09:07:00,2024-02-20 09:47:00,5
s_6fd6719f98b8,u_00028,2024-02-20 17:46:00,2024-02-20 18:26:00,6
s_e82a60e293d7,u_00028,2024-03-11 18:14:00,2024-03-11 18:24:00,7
s_6fef7d929fca,u_00028,2024-03-22 16:23:00,2024-03-22 16:28:00,8
s_46e5dc384e78,u_00028,2024-03-29 18:40:00,2024-03-29 18:45:00,9
s_ea139e9de4e9,u_00029,2024-01-24 16:24:00,2024-01-24 16:29:00,1
s_3c6c0d40c756,u_00029,2024-01-26 08:40:00,2024-01-26 08:45:00,2
s_7df18baaaa41,u_00029,2024-01-26 11:31:00,2024-01-26 11:41:00,3
s_6a2354421f1a,u_00029,2024-01-29 08:41:00,2024-01-29 08:51:00,4
s_ba2bcd662a60,u_00029,2024-02-08 14:48:00,2024-02-08 15:48:00,5
s_f38517940d5c,u_00029,2024-02-09 13:06:00,2024-02-09 13:26:00,6
s_0f80a3c0c776,u_00029,2024-02-09 19:27:00,2024-02-09 19:32:00,7
s_865286e94037,u_00029,2024-02-24 14:03:00,2024-02-24 14:23:00,8
