event_id,user_id,session_id,event_ts,event_type,item_id,soft_delta,hard_delta,revenue_usd,txn_id
e_00b5e6a91f16,u_00005,s_4c9058689a83,2024-03-01 20:30:05,earn_soft,,50,0,0.0,
e_9956b6e37cec,u_00005,s_63fcbbef850b,2024-03-27 12:23:56,earn_soft,,63,0,0.0,
e_0e1ab6233065,u_00005,s_63fcbbef850b,2024-03-27 12:24:20,spend_soft,item_001,-50,0,0.0,
e_cc33fcf193fc,u_00005,s_6abd0993efc8,2024-03-27 20:24:21,earn_soft,,41,0,0.0,
e_442625664cdc,u_00005,s_6abd0993efc8,2024-03-27 20:27:52,spend_soft,item_003,-100,0,0.0,
e_7cd1f7c6a4ab,u_00005,s_ac8ae7a3e40d,2024-03-27 22:01:17,earn_soft,,33,0,0.0,
e_7101974dcc79,u_00006,s_f992f41d0141,2024-01-18 08:49:23,earn_soft,,21,0,0.0,
e_45303b58608b,u_00006,s_f992f41d0141,2024-01-18 08:52:37,spend_soft,item_003,-100,0,0.0,
e_645757270973,u_00006,s_a5d9f3b986df,2024-01-19 07:44:40,earn_soft,,57,0,0.0,
e_d5da7fc2b40f,u_00006,s_bcfba0a17036,2024-01-19 15:51:43,earn_soft,,12,0,0.0,
e_d069dea6098e,u_00006,s_bcfba0a17036,2024-01-19 15:54:50,spend_soft,item_004,-500,0,0.0,
e_623a7feac797,u_00006,s_c4c4f9014dec,2024-01-19 17:07:36,spend_soft,item_002,-75,0,0.0,
e_0dd55cc231ed,u_00006,s_082842580ca2,2024-01-20 21:15:56,earn_soft,,41,0,0.0,
e_662a18ea2c60,u_00006,s_082842580ca2,2024-01-20 21:17:32,spend_soft,item_002,-75,0,0.0,
e_3517bc320f5d,u_00006,s_39e0531f97d6,2024-01-24 14:07:36,earn_soft,,37,0,0.0,
e_da2dae2f6ee2,u_00006,s_03e84d86052e,2024-01-25 10:31:31,earn_soft,,89,0,0.0,
e_0d10daff258c,u_00006,s_03e84d86052e,2024-01-25 10:34:32,spend_soft,item_001,-50,0,0.0,
e_d82c436c83f6,u_00006,s_d2f3f8830333,2024-02-03 12:03:26,earn_soft,,38,0,0.0,
e_51ffddd62646,u_00006,s_d2f3f8830333,2024-02-03 12:06:13,spend_soft,item_004,-500,0,0.0,
e_716b7bd16cd5,u_00006,s_5fb0d467b830,2024-02-05 14:35:57,earn_soft,,22,0,0.0,
e_c269f092f71c,u_00007,s_a1477afa5d42,2024-01-07 16:56:57,earn_soft,,44,0,0.0,
e_55988973aeba,u_00007,s_a1477afa5d42,2024-01-07 16:58:12,spend_soft,item_002,-75,0,0.0,
e_413211fa43ad,u_00007,s_679e4dcfa307,2024-01-07 18:26:17,earn_soft,,49,0,0.0,
e_b09c9b006d6b,u_00007,s_8bc3bd154dd7,2024-01-08 08:26:36,earn_soft,,44,0,0.0,
e_e41ddfb80fb3,u_00007,s_8bc3bd154dd7,2024-01-08 08:29:48,spend_soft,item_002,-75,0,0.0,
e_ae23ad106e21,u_00007,s_2184b8bc0453,2024-01-08 17:15:31,earn_soft,,14,0,0.0,
e_041592d82598,u_00007,s_2184b8bc0453,2024-01-08 17:18:25,spend_soft,item_002,-75,0,0.0,
e_ae5109b07796,u_00007,s_ddfb04f639d0,2024-01-22 17:53:06,earn_soft,,14,0,0.0,
e_4f03140a7357,u_00007,s_e5c812400fd7,2024-01-23 18:44:05,spend_soft,item_003,-100,0,0.0,
e_e1a60383626b,u_00007,s_da415e49ba98,2024-01-25 07:51:23,earn_soft,,36,0,0.0,
e_d3b0bb3e1873,u_00007,s_da415e49ba98,2024-01-25 07:53:23,spend_soft,item_003,-100,0,0.0,
e_cdabbacea260,u_00007,s_edccd712fda4,2024-01-25 12:26:51,earn_soft,,75,0,0.0,
e_f3f603f41cc0,u_00007,s_edccd712fda4,2024-01-25 12:30:20,spend_soft,item_002,-75,0,0.0,
e_7a7d05f1d1a6,u_00007,s_9f41077389f9,2024-01-25 16:55:07,earn_soft,,89,0,0.0,
e_74d8acb4ea78,u_00007,s_9f41077389f9,2024-01-25 16:57:40,spend_soft,item_001,-50,0,0.0,
e_444ba30985a5,u_00007,s_f7436715eba9,2024-01-26 13:41:12,earn_soft,,59,0,0.0,
e_e70924ca14d7,u_00007,s_f7436715eba9,2024-01-26 13:41:28,spend_soft,item_004,-500,0,0.0,
e_bd59dcef1d65,u_00007,s_a6e84485a6ea,2024-01-26 20:58:15,earn_soft,,29,0,0.0,
e_eb10a95c7013,u_00007,s_a6e84485a6ea,2024-01-26 21:01:58,spend_soft,item_002,-75,0,0.0,
e_49ed091832e1,u_00007,s_80e4dfacc984,2024-01-31 11:39:34,earn_soft,,31,0,0.0,
e_159355182bfd,u_00007,s_1e417992a110,2024-02-22 06:43:33,earn_soft,,92,0,0.0,
e_4e5d72ead782,u_00007,s_1e417992a110,2024-02-22 06:46:37,spend_soft,item_004,-500,0,0.0,
e_a1a99d91593c,u_00007,s_37373fe36752,2024-02-22 09:16:16,earn_soft,,12,0,0.0,
e_0130925d809d,u_00007,s_7c45f73c8196,2024-02-22 11:17:38,earn_soft,,63,0,0.0,
e_0f51d68da60a,u_00008,s_dbfa0278e9c4,2024-01-30 07:39:26,earn_soft,,57,0,0.0,
e_65244dd85c9f,u_00008,s_178126ff423a,2024-02-02 21:58:35,earn_soft,,27,0,0.0,
e_b74b0352819b,u_00008,s_178126ff423a,2024-02-02 21:58:23,spend_soft,item_002,-75,0,0.0,
e_994e90292cf6,u_00008,s_4b77e8b018fa,2024-02-07 12:02:47,earn_soft,,67,0,0.0,
e_c01327619fa0,u_00008,s_4b77e8b018fa,2024-02-07 12:04:53,spend_soft,item_003,-100,0,0.0,
e_a4c3af668181,u_00008,s_03b8fd93d127,2024-02-14 13:04:30,spend_soft,item_002,-75,0,0.0,
e_1cc8d70f104e,u_00008,s_03377ebb115f,2024-02-15 06:27:47,earn_soft,,80,0,0.0,
e_b0d6e8e5c541,u_00008,s_b9fa680d4503,2024-02-15 13:12:38,earn_soft,,80,0,0.0,
e_0128fb090a9b,u_00008,s_9d50642a5606,2024-02-15 19:06:31,earn_soft,,43,0,0.0,
e_134177cc9f04,u_00008,s_4e149079665b,2024-02-18 14:45:44,earn_soft,,18,0,0.0,
e_8d042d2aed5a,u_00008,s_22248f0b5f81,2024-02-18 15:55:04,earn_soft,,79,0,0.0,
e_3e235beb2adb,u_00008,s_a26e64d47f32,2024-02-22 11:01:59,earn_soft,,43,0,0.0,
e_56e1bf484163,u_00008,s_a26e64d47f32,2024-02-22 11:03:20,spend_soft,item_002,-75,0,0.0,
e_cd0e3c608276,u_00008,s_e0d227b51632,2024-02-22 20:58:58,earn_soft,,75,0,0.0,
e_f7e58df08282,u_00008,s_e0d227b51632,2024-02-22 21:00:03,spend_soft,item_004,-500,0,0.0,
e_9ec7bbd443ef,u_00009,s_00bccb73ef07,2024-02-23 07:47:21,earn_soft,,32,0,0.0,
e_b83999c544f5,u_00009,s_93facc1adda5,2024-02-24 12:40:57,earn_soft,,51,0,0.0,
e_91c3a739ee88,u_00009,s_93facc1adda5,2024-02-24 12:42:24,spend_soft,item_001,-50,0,0.0,
e_6803b4db0204,u_00009,s_25465276b803,2024-02-24 13:34:50,earn_soft,,13,0,0.0,
e_7257aff7a9d3,u_00009,s_f835bdc9a023,2024-03-04 10:26:49,earn_soft,,80,0,0.0,
e_50eb08905ca0,u_00009,s_f835bdc9a023,2024-03-04 10:29:15,spend_soft,item_003,-100,0,0.0,
e_504d33bdb32b,u_00009,s_69d6cd130ccd,2024-03-04 15:20:37,earn_soft,,92,0,0.0,
e_d9aba0ed9ca8,u_00009,s_177df722a4b0,2024-03-10 08:07:16,earn_soft,,26,0,0.0,
e_530bb28f1beb,u_00009,s_177df722a4b0,2024-03-10 08:09:34,spend_soft,item_001,-50,0,0.0,
e_2b107c3fcff0,u_00009,s_e0427dcbab0e,2024-03-10 16:32:50,earn_soft,,61,0,0.0,
e_acbe58710ffe,u_00009,s_e0427dcbab0e,2024-03-10 16:34:24,spend_soft,item_002,-75,0,0.0,
e_bd5dfabbf28e,u_00009,s_267597002285,2024-03-28 19:58:57,earn_soft,,87,0,0.0,
e_1470bfa6ca66,u_00009,s_267597002285,2024-03-28 20:00:20,spend_soft,item_001,-50,0,0.0,
e_a071521a4bab,u_00010,s_a704343dd308,2024-01-05 08:58:34,earn_soft,,33,0,0.0,
e_cb2af10b80b1,u_00010,s_a704343dd308,2024-01-05 09:00:20,spend_soft,item_001,-50,0,0.0,
e_9382d8ee3272,u_00010,s_91bd460723ac,2024-01-06 08:17:50,earn_soft,,41,0,0.0,
e_c3080fd781de,u_00010,s_91bd460723ac,2024-01-06 08:18:04,spend_soft,item_001,-50,0,0.0,
e_845e03431dea,u_00010,s_3d7e35f3014c,2024-01-06 12:27:05,earn_soft,,40,0,0.0,
e_731dae9eb0db,u_00010,s_3d7e35f3014c,2024-01-06 12:28:47,spend_soft,item_002,-75,0,0.0,
e_701625a71fe9,u_00010,s_1597ec4b2bf2,2024-01-09 10:20:18,spend_soft,item_002,-75,0,0.0,
e_cd693517ba6a,u_00010,s_60930d9443cd,2024-01-12 09:27:29,earn_soft,,70,0,0.0,
e_77ca32ac937f,u_00010,s_60930d9443cd,2024-01-12 09:29:26,spend_soft,item_002,-75,0,0.0,
e_b10cf3aab511,u_00010,s_c4471be053fc,2024-01-12 09:51:32,earn_soft,,96,0,0.0,
e_47e7109a8fa0,u_00010,s_c4471be053fc,2024-01-12 09:54:42,spend_soft,item_004,-500,0,0.0,
e_f1243f7dd766,u_00010,s_031f033859e1,2024-01-22 19:29:25,earn_soft,,80,0,0.0,
e_8163befa847a,u_00010,s_8c90cb241283,2024-01-25 16:48:53,spend_soft,item_002,-75,0,0.0,
e_cb176a497f64,u_00010,s_b3989a29a6f8,2024-02-03 06:35:53,earn_soft,,21,0,0.0,
e_75315bd1095b,u_00010,s_6a7220249090,2024-03-08 12:08:49,earn_soft,,66,0,0.0,
e_55b552d01668,u_00010,s_6a7220249090,2024-03-08 12:12:53,spend_soft,item_002,-75,0,0.0,
e_b3e6f212694c,u_00010,s_e1bb41c16bb0,2024-03-08 19:13:16,earn_soft,,42,0,0.0,
e_5ba96fd9bffa,u_00010,s_e1bb41c16bb0,2024-03-08 19:15:24,spend_soft,item_002,-75,0,0.0,
e_fe9b42f478f9,u_00011,s_4ef941e710ca,2024-01-15 06:22:16,earn_soft,,98,0,0.0,
e_c4e9b759721a,u_00011,s_4ef941e710ca,2024-01-15 06:24:33,spend_soft,item_003,-100,0,0.0,
e_1c28f5b645b5,u_00011,s_d390b0171588,2024-01-15 09:54:04,earn_soft,,50,0,0.0,
e_d188bfe2747c,u_00011,s_d390b0171588,2024-01-15 09:54:36,spend_soft,item_001,-50,0,0.0,
e_137e58b84eba,u_00011,s_329f6226316f,2024-01-16 15:08:04,earn_soft,,13,0,0.0,
e_81fba53c8ed4,u_00011,s_638226325b22,2024-01-17 15:26:03,earn_soft,,89,0,0.0,
e_0f99dd78c717,u_00011,s_638226325b22,2024-01-17 15:26:15,spend_soft,item_004,-500,0,0.0,
e_52f7478d763f,u_00011,s_82d792a84e66,2024-01-28 08:08:40,earn_soft,,85,0,0.0,
e_6e4788c98171,u_00011,s_82d792a84e66,2024-01-28 08:09:28,spend_soft,item_004,-500,0,0.0,
e_37ccc9848f85,u_00011,s_eccf8b585e57,2024-02-01 16:31:34,earn_soft,,62,0,0.0,
e_37c264a1bb3e,u_00011,s_eccf8b585e57,2024-02-01 16:34:50,spend_soft,item_003,-100,0,0.0,
e_88e058944892,u_00011,s_0ec511d42174,2024-02-02 09:19:24,earn_soft,,42,0,0.0,
e_f43f673a5fe2,u_00011,s_dddaa5027e29,2024-02-14 07:35:03,earn_soft,,80,0,0.0,
e_018a8b89c647,u_00011,s_dddaa5027e29,2024-02-14 07:36:13,spend_soft,item_004,-500,0,0.0,
e_f40e0be67c3e,u_00011,s_4ce2b809c71f,2024-02-14 09:58:09,earn_soft,,18,0,0.0,
e_dd32eb86978d,u_00011,s_5cdf173342a8,2024-02-14 10:04:11,earn_soft,,99,0,0.0,
e_6a926c1cbc8a,u_00011,s_817e1bcfb7db,2024-02-23 15:09:48,earn_soft,,78,0,0.0,
e_5984e252e9ab,u_00011,s_817e1bcfb7db,2024-02-23 15:12:51,spend_soft,item_001,-50,0,0.0,
e_1ab55ad93dd8,u_00011,s_b49f1f8d08b2,2024-02-23 19:32:38,earn_soft,,56,0,0.0,
e_92c313115532,u_00011,s_4248e5ac0e15,2024-02-29 18:18:33,earn_soft,,24,0,0.0,
e_cdcb00743f76,u_00011,s_4248e5ac0e15,2024-02-29 18:19:45,spend_soft,item_003,-100,0,0.0,
e_35ac32e5d983,u_00011,s_f8a475f099e2,2024-03-17 06:59:06,earn_soft,,39,0,0.0,
e_22dd581135c1,u_00011,s_f8a475f099e2,2024-03-17 07:01:40,spend_soft,item_003,-100,0,0.0,
e_88ba872ae721,u_00012,s_28bda9d69865,2024-01-11 18:18:41,earn_soft,,11,0,0.0,
e_e7ec9967f82b,u_00012,s_14da1100a636,2024-01-12 22:01:37,earn_soft,,61,0,0.0,
e_acf92ba539f8,u_00012,s_14da1100a636,2024-01-12 22:02:33,spend_soft,item_001,-50,0,0.0,
e_434f32cd2f5a,u_00012,s_efafc369a3e4,2024-01-13 18:16:59,earn_soft,,40,0,0.0,
e_1a9ad656e373,u_00012,s_2bc9219d483d,2024-01-16 08:47:11,earn_soft,,76,0,0.0,
e_87c6b8ebc33c,u_00012,s_c9a6efdf03cf,2024-01-20 21:47:46,earn_soft,,74,0,0.0,
e_4d33def67c7e,u_00012,s_c9a6efdf03cf,2024-01-20 21:48:44,spend_soft,item_004,-500,0,0.0,
e_2524e17c62d5,u_00012,s_b607da40d987,2024-01-21 10:48:41,earn_soft,,10,0,0.0,
e_991ff1103a3f,u_00012,s_b607da40d987,2024-01-21 10:51:17,spend_soft,item_002,-75,0,0.0,
e_fb39dc552245,u_00012,s_03e8090550cc,2024-01-21 17:38:40,earn_soft,,55,0,0.0,
e_6cc17e156394,u_00012,s_03e8090550cc,2024-01-21 17:42:32,spend_soft,item_002,-75,0,0.0,
e_6568f7bf5c5d,u_00012,s_f396bb2ae13e,2024-01-21 19:42:46,spend_soft,item_004,-500,0,0.0,
e_deaf08f45239,u_00012,s_36cd192580af,2024-02-07 11:45:56,earn_soft,,61,0,0.0,
e_24f8c33afcac,u_00012,s_36cd192580af,2024-02-07 11:48:17,spend_soft,item_001,-50,0,0.0,
e_ddfa9e881c41,u_00012,s_b7ac2b9946f3,2024-02-27 10:41:45,earn_soft,,20,0,0.0,
e_a091b5911824,u_00012,s_b7ac2b9946f3,2024-02-27 10:42:12,spend_soft,item_004,-500,0,0.0,
e_43a427eb4875,u_00012,s_09219ef3326f,2024-03-16 17:08:34,earn_soft,,73,0,0.0,
e_9b70c051fefe,u_00012,s_12f58317b639,2024-03-16 19:22:54,spend_soft,item_002,-75,0,0.0,
e_0ac09b2e03f6,u_00013,s_63fe74dae40a,2024-02-11 20:03:00,earn_soft,,96,0,0.0,
e_2ef6100f4127,u_00013,s_63fe74dae40a,2024-02-11 20:06:16,spend_soft,item_002,-75,0,0.0,
e_ef05b5441653,u_00013,s_1aa358d70c46,2024-02-12 13:16:34,earn_soft,,77,0,0.0,
e_3909a66179d1,u_00013,s_1aa358d70c46,2024-02-12 13:18:35,spend_soft,item_003,-100,0,0.0,
e_c690ad5b0c86,u_00013,s_259ed9ea561e,2024-02-15 11:34:59,earn_soft,,33,0,0.0,
e_e67585de4a76,u_00013,s_259ed9ea561e,2024-02-15 11:38:31,spend_soft,item_001,-50,0,0.0,
e_6e0bd883efe5,u_00013,s_887370e7c139,2024-02-16 12:58:47,earn_soft,,84,0,0.0,
e_e93494b4e165,u_00013,s_b2629f3b2261,2024-02-24 11:02:51,earn_soft,,88,0,0.0,
e_e21d0218bc96,u_00013,s_b2629f3b2261,2024-02-24 11:02:22,spend_soft,item_002,-75,0,0.0,
e_237ec5d18cae,u_00013,s_8e47e0030a77,2024-02-29 06:45:40,earn_soft,,29,0,0.0,
e_d521b6b21981,u_00013,s_45825d592478,2024-03-09 16:05:30,earn_soft,,69,0,0.0,
e_5bec380cc871,u_00013,s_45825d592478,2024-03-09 16:08:03,spend_soft,item_004,-500,0,0.0,
e_e39f22ee0c92,u_00013,s_860ebffb6624,2024-03-11 11:21:02,earn_soft,,68,0,0.0,
e_f31b7befa69a,u_00013,s_6c4820da8ff9,2024-03-11 19:47:52,earn_soft,,32,0,0.0,
e_7fd0942c676e,u_00013,s_6c4820da8ff9,2024-03-11 19:49:19,spend_soft,item_001,-50,0,0.0,
e_c6bb28bfc52a,u_00013,s_2731a1165663,2024-03-15 15:56:18,spend_soft,item_004,-500,0,0.0,
e_129f89fd0d69,u_00013,s_4e0141085b2d,2024-03-17 12:28:55,earn_soft,,82,0,0.0,
e_fbd945f9e10a,u_00013,s_7f1a9c9828d3,2024-03-17 15:57:39,earn_soft,,99,0,0.0,
e_849cbaab97a9,u_00013,s_7f1a9c9828d3,2024-03-17 15:57:26,spend_soft,item_002,-75,0,0.0,
e_f69791a0245b,u_00013,s_204e48b18de8,2024-03-17 20:11:39,earn_soft,,58,0,0.0,
e_68ad3d62f806,u_00013,s_204e48b18de8,2024-03-17 20:11:32,spend_soft,item_004,-500,0,0.0,
e_b8d7ce8673af,u_00014,s_ac3ceab7b0e4,2024-01-30 08:10:10,earn_soft,,54,0,0.0,
e_790920b2b69d,u_00014,s_ac3ceab7b0e4,2024-01-30 08:10:53,spend_soft,item_001,-50,0,0.0,
e_59fe389a9a96,u_00014,s_322146ec1787,2024-01-30 20:51:12,earn_soft,,57,0,0.0,
e_bd416b86b1d8,u_00014,s_afbc23c7ec06,2024-02-01 07:15:35,earn_soft,,30,0,0.0,
e_d80aadaeda3a,u_00014,s_d7c489afb751,2024-02-01 08:16:55,earn_soft,,37,0,0.0,
e_40c9e6bb3920,u_00014,s_d7c489afb751,2024-02-01 08:19:31,spend_soft,item_004,-500,0,0.0,
e_3f5df147c018,u_00014,s_ed552917bbfe,2024-02-02 13:12:40,earn_soft,,53,0,0.0,
e_eb4435f04713,u_00014,s_74e0875a7d69,2024-02-04 15:31:56,earn_soft,,23,0,0.0,
e_63750fc1a046,u_00014,s_74e0875a7d69,2024-02-04 15:33:30,spend_soft,item_002,-75,0,0.0,
e_e4a5224f23c0,u_00014,s_6df5ef714716,2024-02-12 11:45:50,earn_soft,,47,0,0.0,
e_457d2c335d80,u_00014,s_6df5ef714716,2024-02-12 11:45:03,spend_soft,item_002,-75,0,0.0,
e_203540ad018b,u_00014,s_298665f9554c,2024-03-27 16:23:35,earn_soft,,84,0,0.0,
e_52700e9e564f,u_00015,s_ae4996d768a6,2024-02-13 21:07:09,earn_soft,,69,0,0.0,
e_25d45c69c49c,u_00015,s_993002db0f2c,2024-02-14 10:26:19,earn_soft,,21,0,0.0,
